Comment,Designator,Footprint,LCSC
TXS0108EQPWRQ1,IC1,SOP65P640X120-20N,C1021790
20k,R4,R_0805_2012Metric,C114566
10k,"R11,R12,R14,R17,R21,R3,R7",R_0805_2012Metric,C138260
LMS1585ACT-3.3_NOPB,U1,TO254P470X1028X1955-3P,C140341
1N4001,D1,D_DO-41_SOD81_P10.16mm_Horizontal,C145491
DTS-62N-V,S1,DTS62NV,C224975
220R,"R15,R18",R_0805_2012Metric,C340559
DC-005-5A-2.0,J1,XKB_DC-005-5A-2.0,C381116
2k,R8,R_0805_2012Metric,C413188
0.1uF,"C3,C6",C_0805_2012Metric,C519930
LM7805_TO220,U2,TO-220-3_Vertical,C5444281
XD549,U3,DIP-8_W7.62mm,C707061
100R,"R10,R13,R16,R19,R9",R_0805_2012Metric,C728002
IRLML6246,"Q1,Q2,Q3",SOT-23,C82053
10uF,"C1,C2,C4,C5",C_0805_2012Metric,C89832
CPE-222H,LS1,MagneticBuzzer_StarMicronics_HMB-06_HMB-12,C96095
SRD-05VDC-SL-C,K1,RELAY_SRD-05VDC-SL-C,C99666
LED,D2,LED_D3.0mm_FlatTop,C99758
MQ_135_D_TP,TP13,TestPoint_Pad_1.0x1.0mm,
LED_TP,TP15,TestPoint_Pad_1.0x1.0mm,
MountingHole,H4,MountingHole_2.5mm_Pad_TopBottom,
MQ_135_5V_TP,TP12,TestPoint_Pad_1.0x1.0mm,
VREF_A_TP,TP3,TestPoint_Pad_1.0x1.0mm,
DHT_11_3V3_TP,TP20,TestPoint_Pad_1.0x1.0mm,
DNP,R20,R_0805_2012Metric,
GND_TP,TP25,TestPoint_Pad_2.0x2.0mm,
DNP,R2,R_0805_2012Metric,
MQ_135_D_3V3_TP,TP24,TestPoint_Pad_1.0x1.0mm,
MQ_135_SCL_TP,TP7,TestPoint_Pad_1.0x1.0mm,
Indicator_LED_3V3_TP,TP19,TestPoint_Pad_1.0x1.0mm,
LS_EN_TP,TP6,TestPoint_Pad_1.0x1.0mm,
DNP,R1,R_0805_2012Metric,
12V_TP,TP1,TestPoint_Pad_1.0x1.0mm,
Solenoid_Control_3V3_TP,TP17,TestPoint_Pad_1.0x1.0mm,
Solenoid_Out_TP,TP14,TestPoint_Pad_1.0x1.0mm,
Buzzer_TP,TP16,TestPoint_Pad_1.0x1.0mm,
MQ_135_SDA_TP,TP11,TestPoint_Pad_1.0x1.0mm,
5V_TP,TP4,TestPoint_Pad_1.0x1.0mm,
Reset_TP,TP27,TestPoint_Pad_1.0x1.0mm,
MQ_135_SDA_3V3_TP,TP21,TestPoint_Pad_1.0x1.0mm,
MountingHole,H3,MountingHole_2.5mm_Pad_TopBottom,
Solenoid_In_TP,TP10,TestPoint_Pad_1.0x1.0mm,
DHT_11_TP,TP26,TestPoint_Pad_1.0x1.0mm,
DNP,R6,R_0805_2012Metric,
Conn_01x13_Pin,J3,PinHeader_1x13_P2.54mm_Vertical,
MountingHole,H2,MountingHole_2.5mm_Pad_TopBottom,
Conn_01x02_Socket,J2,Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal,
MountingHole,H1,MountingHole_2.5mm_Pad_TopBottom,
Indicator_Buzzer_3V3_TP,TP18,TestPoint_Pad_1.0x1.0mm,
MQ_135_SCL_3V3_TP,TP22,TestPoint_Pad_1.0x1.0mm,
DNP,R5,R_0805_2012Metric,
MQ_135_CS_3V3_TP,TP23,TestPoint_Pad_1.0x1.0mm,
MQ_135_A_3V3_TP,TP2,TestPoint_Pad_1.0x1.0mm,
3V3_TP,TP5,TestPoint_Pad_1.0x1.0mm,
MQ_135_CS_TP,TP8,TestPoint_Pad_1.0x1.0mm,
VREF_B_TP,TP9,TestPoint_Pad_1.0x1.0mm,
DHT-11,U5,DHT-11,
MQ-135,U4,MQ-135,
